ID	PSET	VSET	PRONOUN	VERB	GENDER		ANSWER
						ạ²chu⁴ja	boy
						ạ²da	wood
						a¹dạ²de³ga	it's bouncing
						a¹dạ²de³ga	he's limping
						a¹dạ²di²³nv³²dị²ha	he's bouncing it
						a¹da³dlo²hị³ha	he's putting on a belt
						ạ²da¹dlo²³sdi	belt
						ạ²da²do²³li³²sdi	prayer
						a¹da²do²³li³²sdị²ha	he's praying
						ạ³dạ²ge⁴ɂi	1. tender  2. very young, new
						ạ²da²geyh²di	love
						ạ²da²³hị²hi	thing that kills
						ạ²da²hlị²ne³sahl²di	purse
						ạ²da²³hneh²di	gift
						a¹dạ²hno³yẹ²ha	he's fanning himself
						ạ²dạ²hno²yo	fan
						a¹da²hwah²tv²hi²³do³²ha	he's visiting
						a¹da²hya³²sdị²ha	he's stretching
						ạ²da²hye⁴sgi	cancer
						a¹dạ²hyị³ha	he's denying him, it
						a¹da²hyo³nẹ²ha	he's committing adultery
						ạ²da²hyo²neh³di	adultery
						ạ²da²hyo²ne⁴hi	adulterer
						a¹da²jạ²gạ²lị³ha	it's ripping
						ạ²da²jvy⁴sgi	something that stings
						a¹da²kẹ³ha	he's looking at himself in a mirror
						ạ²da²keh³di	mirror
						a¹dạ²le²nị³ha	it's beginning
						a¹da²na²ne³sv²hṿ³sga	he's shopping
						a¹da²nạɂ³nv⁴ɂi	store
						a¹dạ²naw³²sdị³ha	he's taking off running
						a¹dạ²ne²³dli³yṿ²ɂa	he, it's changing
						a¹dạ²ne²³dli³yv¹sdị²ha	he's taking turns with him
						ạ²dạ²ne²³dli³yv¹sdi⁴sgi	1. alternate  2. substitute
						a¹da²ne²hlv⁴ɂi	provisions, supplies
						a¹da²ne²³lv⁴ɂi	building
						ạ²danh²do	heart
						a¹danh²tẹ³ha	he's thinking
						ạ²danh²³teh²di	thought
						a¹danh²te²³hi³lọ²ɂa	1. he's pondering it  2. he's considering
						a¹dạ²no²hyv²hlị²sdị³ha	he, it's making noise
						a¹dan²si²³ni	he's crawling
						a¹dạ²nu³te²yọ³ha	it's twisting
						a¹dạɂ³nv²ɂa	he, it's moving from one place to another
						a¹dạ²nv²³sga	he's ordering it
						ạ²da²sdayh¹di⁴i	kitchen
						a¹da²sda³²yv²hv³sga	she's cooking a meal
						ạda²³we³hi	magician
						ạ²da²³we⁴hi	magical
						ạ²dạ²we²³lạ²gi¹sgi	flame
						ạ²dạ²we²lạ²gi¹sgi	gunpowder
						a¹dạ²we³so²lv²³sdị³ha	he's resting
						A²³dạ³wi	Adam
						a¹dạ²wo³ɂa	1. he's bathing  2. he's swimming
						ạ²dạ²wo¹sdi⁴ɂi	swimming pool
						ạ²dạ²yv²³lạ²tṿ²sgi	television
						a¹de³ha	he's giving him a long  object
						a¹de²hloh²gwạ³ɂa	he's learning, he's learning it
						a¹de²ho²³hị³sdị²ha	he's embarrassing him
						a¹de²ho²³sga	he's embarrassed
						a¹de²hṿ³sga	he's being born
						ạ²de²³la	money
						ạ²del²³diyh²di⁴ɂi, ạ²del²³ju²niyh²di⁴i	bank
						ạ²del²³ju²³hlv⁴ɂi	California
						a¹de²lọ²ho²sga	he's finding it out
						ạ³de²lv⁴ɂi	dollars
						a¹de²tṿ³sga	he's diving
						a¹de³yọ²ha	1. he's going around a curve  2. he's turning off the road  3. he's circling it
						a¹de³yọ²hv⁴ɂi	curve
						a¹dị³ɂa	he's laying a long object down
						a¹di²dị³ha	he's rising from a prone position
						a¹di²gạ²le²³yạ³ɂa	he's scattering it
						a¹di²gạ²le²³yo³²ga	it's scattering
						a¹di³gwạ²lv²de³yọ²ha	he, it's spinning, rotating
						a¹dị²ha	he's saying it
						a¹di²³nv³²dị²ha	he's running over him, it
						a¹di²sgạ²hlṿ³sga	he's hiding
						a¹di³²si²yạ³ɂa	he's leaving a long object behind
						ạ²di²³tạ²sdi	something to drink
						a¹di²tạ³sga	he's drinking it
						ạ²di²toh³di	spoon
						a²dla	1. rubber,  2. chewing gum
						a¹dlạ²go²³sga	he's scratching
						a²dlạwạɂ³dv⁴ɂi	pocket
						a¹dle³ɂa	he's turning off the road
						a¹dle³chẹ²ha	he's taking revenge against him
						ạ²dle¹ɂị³sdi	revenge
						ạ²dle¹sạ²do	apron
						a¹dlị³ɂa	he's pouring liquid in a container
						ạ²dlị²ɂạ²do	earring
						a¹dli²³ha	he's drawing a liquid out of a container
						a¹dli³²sdị²ha	he's pouring liquid in a container
						a¹dlo²hyị³ha	he's crying
						a¹dloy²sga	he's getting off
						a¹dlv²³kwsga	he's bragging
						a¹dlv²tạ³sga	he's catching up with him, it
						ạ²do²lạ²nv³sdi	walking cane
						a²do²³ni⁴sgi	sorcerer
						ạ²du²dạ²le⁴sdi	freedom
						Ạ²dṿ²ji	1. Dutch, 2. German
						a¹dv³nẹ²ha	he's doing it
						a¹dv³ne²lị³ha	he's acting silly
						ạ²dv¹ne²³li⁴sgi	actor
						a¹dv²nv³ɂị²sdị³ha	1. he's preparing it.  2. he's getting ready
						ạ²gạ²hli⁴yi	eager
						a¹gal³²sga	1.  he's breaking a flexible object, 2. He's cutting a flexible object
						a¹gạ²na²³dị³ɂa	he's licking it
						ạ²gạɂ³nạ²kti	doctor
						a¹ga²nawh²dị³ha	he's warming it
						a¹ga²nạ²wo²sga	it's getting warmer
						a¹ga²sga	it's raining
						ạ²ga¹su²ye⁴da	a person who has been chosen
						ạ²ga²yạ²lu³di	seine
						ạ²gạ²yv²³lị³ge⁴ɂi	old woman
						a³ge⁴	over there
						ạ²ge²³hya	woman
						ạ²ge²hyu⁴ja	girl
						a¹gi³ɂa	1. he's picking it up  2. he's getting it
						ạ²gi²hli⁴yi	agony, pain
						a¹gi²hli²³yo³²ga	he's in agony, pain.
						a¹gi³²sdọ²ɂa	he's chewing it
						ạ²gi²³si	female animal
						a¹gọ³hṿ²sdị³ha	he's burning him, it
						a¹gọ³hṿ²sga	he, it's burning
						ạ²go²la	perch
						a¹go²li²³yẹ³ɂa	1. he's reading, 2. he's examining him, it
						ạ²go²na	famine
						a³go²nị³ha	he's target practicing
						ạ²go³sdạ²gi³²sdi	lettuce
						ạ²go⁴sdi	raw
						a¹gowh²tị³ha	he sees him, it
						ạ²gowh²³tvh²di	sight
						a¹gowh²tvh²dị³ha	he's showing it to him
						ạ²gv²dạ²ge⁴ni	his forehead
						a¹gv²hạ²lị³ha	1. he's cutting it, 2. he's slicing it
						a¹gv²hạ³luy³²sga	he's chopping it up
						ạ²gv²hạ²lv⁴da	a piece of something that's been cut
						ạ²gv²³hnạ³ge⁴ɂi	Black person, Negro
						a¹gv²sgo²³lv³²sga	he's scolding him
						a¹gv²sgwo³ɂa	he's washing his face
						ạ²hạ²la⁴da	loudmouth
						a¹hạ²lu²³gị³ɂha	1.  he's diverting him, it, 2. he's flagging him, it down
						ạ³hạ²ni, ạ³hni	here
						ạ²hạ²wi, ạ²hwi	deer
						a¹hạ²wo³sdị²ha	he's smothering him, it
						ạ²hi⁴da	easy
						a¹hi²³do³²ha	he's handling it, he has it in his hand
						a¹hị³ha	he's killing him, it
						a¹hịɂ³le²ha	he has possession of a vehicle
						ạ²hịɂ²lv¹sdi⁴ɂi	steering wheel
						a¹hi²yạ³ɂa	he's leaving it behind
						a¹hlạ²hṿ³sga	he's placing it on something
						a¹hlạ²wi²dị³ha	he's taking off flying, its flying away
						ạ²hlạ²wi²di⁴sgi	something that flies away
						a¹hlạ²wi²tdị³ha	he's making him, it fly
						ạ²hlạ²wi²tdi⁴sgi	person who makes it fly
						a¹hlị²gi³ɂa	he's having a nightmare
						a¹hlị³ɂị²li²³do³²ha	its taking time
						a¹hli²lo³ɂa	he's measuring it
						ạ²hli²lo⁴sdi	ruler
						a¹hlị²yvhgwidvsga	it's bending
						a¹hlị²yv²³sạ³naw¹sdị³ha	he's snorting
						ahl¹jạ²do²³hṿ³sga	he's preaching
						ahl²jạ²do⁴hṿ²sgi	preacher
						ahl¹ko²dv²sga	it's shattering
						ahl¹ko²tdị³ha	he's shattering it
						ạ³hloh²di	phonograph record
						a¹hlo²sga	he's beating him at a game
						ahl¹tạ²wo³ɂa	he's combing his hair
						ahl²tạ²wo³sdi	comb
						a¹hnạ²wạ³ɂi²yv³ɂa	he's changing his shirt
						a¹hnạ²we³ɂa	he's taking his shirt, coat off
						ạ²hnạ²wo	shirt
						a¹hnạ²wo³ɂa	he's putting on a shirt
						a¹hnẹ²ha	he's giving it to him
						a³hne²³hị³ha	he's wrestling
						a¹hnehl³dị²ha	he's interpreting, translating it
						a²hnehl³tanvɂi	interpretation, translation
						a¹hne²jọ³sga	he's frolicking
						a¹hne³sgẹ²ha	he's building a house
						a¹hnị²gị³ɂa	1. he's leaving  2. it's starting
						a¹hnị²gi³²sdị²ha	he's starting it
						a¹hnọ²hli²³ne³²ga	he's carrying a long object on his shoulder
						ạ²ho⁴li	his mouth
						a¹hu²dị³ɂa	he's putting a long object in liquid
						ạ²hu¹jạ²wo²³lạ³dv⁴di	stove pipe, lamp chimney
						a¹hu³jạ²wo²³lạ³dv⁴i	chimney
						ạ²hu²li	drum
						a¹hu²lv³nị²ha	he's hitting him on the mouth
						a¹hv³ɂa	he's moving it from one place to another
						a¹hṿ³sga	he's setting it down
						a¹hwah²tị³ha	he's finding him, it
						a¹hwah²tv²hi²³do³²ha	he's visiting him
						a¹hwi²di³ha	he's taking it somewhere
						a¹hwị²sga	he's planting it
						a²hyạ²dlv⁴di	necktie
						a¹hyah²ke²³tsga	he's peeling it
						a³hyahl²di	necklace
						a¹hyạ²nị³ha	1. he's calling him, inviting him. 2. he's receiving, getting him
						a¹hye³ga	he's taking it somewhere by hand
						a¹hyẹ²ha	he's holding it in his hand
						a¹hyeh²gạ²hlv³sga	he's quilting it
						a¹hye²³hlọ³ha	1. he's making an incision 2. he's operating on him
						a¹hye²li³ɂa	1. he's imitating him, it 2. he's mocking him
						ạ²hyel²sdi, hạ²yel²sdi	knife
						a¹hyọ³ha	he's looking for him
						a¹hyv²dạ²gwạ²lọ³ɂa	it's thundering
						ạ²hyv²dạ²gwạ²lo¹sgi	thunder
						ạ²hyv²dlạ²di¹sdi⁴sgi	1. refrigerator 2. air conditioner
						ạ²hyvh²dlo	ladder
						a¹hyvh²gwị³dv³²sga	1. he's bending it  2. she's hemming it
						ạ²hyvh²je⁴ni	his neck, throat
						a¹hyvh²te³ɂa	he's kicking him, it
						ạ²hyv⁴ki	prisoner, captive
						a¹hyv²³ki³dị²ɂa	he's capturing him
						a¹hyv²³sde³lu²hṿ²sga	he's hitting him on the nose
						a¹hyṿ²sgi²³yi³ha	he's choking him
						a³ɂi	he's walking
						ạ²jạɂ²di	fish
						Ạ²jah²da	Choctaw
						a¹jạ³ɂị²ɂa	it's hatching
						a¹jạ²nv²sga	he's dressing up
						a¹jạ³ɂṿ²sga	He is getting in a car, box, etc.
						a¹je²³li³²sdv⁴ɂi	grave
						a¹je²lv²sga	he's acting like him
						ạ²je²sdo	mattress
						ạ²ji²³la	fire
						ạ²ji²³la	watercress
						Ạ²ji²³la Ge³hlọ²hi	Catholic
						ạ²ji²³la go³hlvh²di	match
						ạ²ji²lv⁴hi	in the fire
						a¹ji²lv²sga	it's blooming
						ạ²ji²lv⁴sgi	flower
						ạ²jị²na	cedar
						a¹ji³slṿ²sga	light a fire, match
						a¹jo³tạ²sga	he's blowing, he's blowing on it
						a¹jv²stṿ³sga	he's turning on a light
						ạ²jvy⁴sdi	lamp, light
						ạ²kạ²ne²³sdi	1.badge 2.pin
						a²kạ²sge⁴ni	his hip
						a¹ke²³he³²ga	he's chasing him, it
						ạ²kị²hlọ³sv¹sdi⁴ɂi	steps, stairs
						ạ³kị²sdi	pill
						a¹kị²sga	he's swallowing it
						ạ²kị²yu²sge	elbow
						ạ²kị²yu²sge⁴ni	his elbow
						a¹ko²³dẹ³ɂa	he's shoveling it
						ạ²ko²³de⁴sdi	shovel, spade
						ạ²ksgạ²ni	left
						ạ²ksgạ³ni⁴da	lefthanded
						a¹ksọ³sga	he's going down hill
						a¹kso²sgv⁴ɂi	downhill route
						ạ²kta	eye
						a¹ktạ²ha	he knows how
						ạ³ktạ²hi	witness
						ạ³ktạ²hnạ²ɂi	knowledgeable
						a¹kta³²sdị²ha	he's winking
						a¹kte²lu²hṿ³sga	he's hitting him on the eye
						ạ²kte²³na³²sdi⁴ɂi	scenery
						a¹kte³nọ²ha	he's looking around
						a¹ktị²ha	he's peeking through
						a¹kti²³ya	he's waiting for him/it
						ạ²kti⁴yi	guard
						ạktoh²di	telescope
						a¹kto³²hṿ²sga	he's becoming wise
						ạ²kto⁴li	his eye
						a¹kto²³sdi	he's looking at him/it
						ạ²ktọ²ɂṿ²hị³sdi	wisdom
						a¹ktv³le²sga	he/it is going through it
						a¹ku²³gị³ɂa	he's dipping liquid
						ạ²ku²³gi⁴sdi	dipper
						a¹kwị²yị³ha	he's paying
						a¹kwị²yv³ɂe²ha	he's paying him
						ạ²kwsdo	pillow
						a¹la³²sdạ²ɂe²ha	he's tromping on him/it,   he's speaking badly of him
						a¹la³²sdṿ²sga	he's stepping on him/it
						a¹la³²sgạ²lị³ha	he's playing ball
						ạ²la¹sgạ²li⁴sgi	ball player
						a¹la³²sgṿ²ɂa	he's taking a step
						ạ²la¹suhl²³di	law suit
						ạ²la¹su²³lo	shoe
						ạ²le	almost
						ạ²le	and, or
						a¹leh²dị³ha	he's placing a long object in an upright position.
						a¹le²hṿ³sga	he's standing in a certain spot.
						a¹le²hwị²sdị³ha	he/it is stopping
						a¹le²hwị²sdoh³dị³ha	he's stopping him/it
						a¹le²nị³ha	he's starting/beginning.
						a¹lị²dlị³ha	it's boiling
						a²li	sweat
						ạ²lị²gv²dạ²no²³sdoh²di	headband
						ạ²lị²gv²du²lo	mask
						a¹li²he²³li³²chẹ²ha	he's thanking him
						a¹li²he²³li³²ga	he's happy/thankful
						a²lị²ɂi	friendship
						a¹lị³ɂi²dị³ɂa	he's exchanging/trading it
						a¹lị²ti³ɂa	he's running away, he's escaping
						ạ²lị²ye¹su²lo	glove
						a¹lị²ye³²su²stgi³ɂa	he's taking his ring off
						ạ²lị²ye¹su²³sto	ring
						a¹lị²ye³²su²stṿ³sga	he's putting a ring on his finger
						a²li²³yo	sock
						a¹lji³kwsga	he's spitting
						al¹sạ²lạ²dị³ɂa	he, it's ascending, raising
						al³sdayh¹di	1. food  2. groceries
						al¹sda³²yv²hṿ³sga	he's eating a meal
						al¹sde²lị³ha	he's helping.
						al¹sdu²³lẹ³ɂa	he's taking off his cap.
						al¹sdu²³le³ha	he's washing his hair
						al¹sdu²³lị³ɂa	he's putting on a cap
						al²sdu²lo	cap
						al¹sdv²hlụ³sga	he's taking a seat
						al¹sdv²hnị³ha	he's shaking his head
						al¹sgi³ɂa	he's dancing
						al¹sgohl²da³²nẹ²ha	he's permitting him
						al¹sgu³²sga	he's nodding his head
						al¹sgwạ²dị³ɂa	it's ending
						al¹sgwạ²lu²³dị³ɂa	he's sticking his head out
						al¹sgwe³tuh²gi³ɂa	he's taking his hat off
						al¹sgwe³tụ²hṿ³ga	he's putting his hat on
						al²sgwe¹tụ²wo	hat
						al¹so²³sdị³ha	1. he's setting a goal 2.  he's aiming
						ạ²ma	water
						a³ma	salt
						ạ²mahl³di⁴ɂi	water well
						ạ²mahl³doh²di	waterbucket
						Ạ²mạ³ye³hli	United States
						ạ²ma²³yi	in water, into water
						ạ²ma²yuhl⁴di	1. shore 2. bank
						ạ²me³gwo⁴ɂi	ocean
						a¹nạ²da²go²nạ²tdi²³sgv⁴ɂi	contest
						a¹nạ²da³hli²sị³ha	they are gathering
						a¹na³²ga²lị³ha	it's lightening
						ạ²na¹ga²li²³sgi	1. lightning  2. electricity  3. battery
						a¹nehl²³di	doll
						a³nehl²dị³ha	he's attempting it
						a¹ne²³lạ³dị²ɂa	he's getting married
						anh¹dạ²dị³ɂa	he's remembering him, it
						ạɂ³ni	strawberry
						ạ²ni²ne⁴li	her husband
						Ạ²ni²sgwa²ni⁴ɂi	Mexico
						ạ²ni²yọ³sgi⁴ɂi	military service
						An¹sgv²ti	May
						Ạ²nv²hyi	March
						a¹sạ²dv³²sga	he's setting a trap
						a¹sạ²lạ²dị³ɂa	he's lifting him, raising him, it
						ạ²sạ²ma⁴di	smart
						a¹sạ²no	dress
						a¹sdạ²gayh²dị³ha	1. he's making it crisp  2. he's starching it
						a¹sdạ²gạ²yv²hị³ha	it's becoming crisp
						a¹sdạ²nv²hnv⁴ɂi	line
						a¹sdạ²nv²hnṿ³sga	he's drawing a line
						a¹sda³²wạ²de³ga	he's following him, it
						a¹sde²lị³ha	he's helping him
						a¹sde³yọ²ha	he's braiding it
						a¹sdi²³gị³ɂa	he's eating a long object
						a¹sdo³ɂa	he's crushing it
						ạ²sdo¹sgi⁴ɂi	crusher
						a¹sdu³²hṿ²sga	1. he's closing it  2. he's jailing him
						a¹sdụ³ɂị²ɂa	he's opening it
						ạ²sdv²³hạ²hli	sandwich
						a¹sdv²³hạ³hlṿ²sga	he's sandwiching it
						a²se³dv³	maybe, perhaps
						ạ²se⁴gi	peculiar
						a¹sẹ²he³ha	he's showing him
						a²se³hno, a²se³hnv	but
						a¹se²³sv⁴da	withdrawn
						a¹sga³²ga	he's reprimanding him
						a¹sga³²ha	he's afraid
						a¹sgahl²ga	he's biting him, it
						ạ²sgạ²hni	evil, sin
						ạ²sgạ²na⁴ɂi	sinner
						a¹sgạ²nv³²ga	he's committing a crime, sin
						ạ²sgạ²ya	man
						ạ²sgạ²ye²gv⁴sda	handsome
						ạ²sgạ²ye²gv²³sda	officer
						ạ²sgi²³na	demon, devil
						a¹sgi²tsga	he's dreaming about him, it
						a¹sgo²gị³ɂa	he's gnawing it
						a¹sgo²³hnị³ha	he's mourning for him, it
						a¹sgo²li²³yẹ³ɂa	he's rubbing him, it
						a¹sgo²³lv³di²ɂa	he's erasing it
						a¹sgo²³lv⁴di¹sdi	eraser
						a¹sgo²³lv³²ga	it's fading
						a¹sgo²³sga	he's digging it
						a²sgv²da²ge⁴ni	his shin
						a¹sgwạ²dị³ɂa	he's finishing it
						ạ²sgwa²ge⁴ni	his side
						a¹sgwa³²hlẹ²ɂa	he's catching a falling person, object
						ạ²sgwạ²la⁴ɂi	short
						a¹sgwạ²lo³²ga	1. it's getting shorter 2. he's getting short on
						a¹sgwal³²sga	he's breaking a long object
						a¹sgwạ²lv³nị²ha	he's hitting him on the head with a long object
						Ạ²sgwa⁴ni	Mexican
						a¹sgwạ²nị²go²³sga	he's amazed
						a¹sgwạ²nu³²tsga	he's sucking it
						a¹sgwo²hạ²lv³nị²ha	he's hitting him on the abdomen with a long object
						a¹sih²tạ²dị³ɂa	he's placing his hand on him, it
						a¹sih²tv³nị²ha	he's slapping him, it
						a³si²ne³ga	he's backing up
						a¹si²ni	backwards
						ạ²sị²yv⁴wi	individual, one person
						ạ²sko⁴li	his head
						a¹slạ²dị³ɂa	he's roping him, it
						a¹so²³hyọ³ha	he's building a fence
						a¹so²³hyv⁴ɂi	fence
						a¹so²lv²dạ²gi³ɂa	he's waving his hand
						a¹son³²sdị³ha	he's pressing down on him, it
						a¹so²nv²sga	he's wounding him, it
						ạ²sti	1. string 2. thread
						a¹su³ɂa	he's sopping it
						a¹su²³hṿ³sga	he's fishing
						a¹su²³hwị³sga	he's painting it
						a³su²lạ³ɂi²yv³ɂa	he's changing his pants
						a³su²le³ɂa	he's taking his pants off
						a³su²lị³ɂa	he's putting his pants on
						a¹su²lị²go³ga	he's quitting
						a¹su²lo	pants
						ạ²su³sdi	gravy
						a¹su²ye³ɂa	he's choosing him, it
						a¹su³yẹ²ha	he's stirring it
						a¹su²yṿ³sga	he's mixing it in
						a¹sv³²ga	it smells
						ạ²sv²gwạ²lo¹sgi⁴ɂi	sawmill
						a¹svh²dlv⁴ɂi	bridge
						a¹sv²hnị³ɂha	he's touching him, it
						a¹sṿ²hṿ³sga	1. he, it's using it up 2. he's drinking, eating it up
						Ạ²sv²no²³yi	Nighthawk
						a⁴ta	young woman
						ạ²tạ²hlạ²wo²hị²sdi	rage
						a¹tạ²hwo³sdị²ha	he's holding his breath
						a¹tạ²lạ²dị³ɂa	he's mooring a boat
						a¹tạ²le²sga	he's drilling a hole
						a¹tạ²le²sv⁴ɂi	hole
						a¹ta²no²³le³²ga	it's steaming
						a²tạ²nu⁴ja	adolescent girl
						a¹tạ²sgi³ɂa	it's exploding
						a¹tạ²sgi³sdi²ha	he's exploding it
						ạ²tạ²sgi⁴sgi	explosive
						a¹tạ²we²³dọ³ɂṿ²sga	he's kissing her
						a¹tạ²wo³ɂa	he's combing someone's hair
						a¹tạ²yo²hị³ha	he's asking for it
						a¹tẹ²lạ²dị³ɂa	he's joining
						ạte²li²³do	dish, plate
						a¹te³lv²hṿ³sga	he's shaking him, it
						ạ³tihl²di	shirt, blouse
						a¹tị³hni	he's leading him
						a¹tị²yo²³hị³ha	he's arguing
						ạ²tị²yo²³sdi	argument
						a¹tli	he's running
						a¹toh²gi²³yạ³ɂa	1. he's racing 2. he's running for office
						ạ¹toh²gi³ya¹sgi	1. candidate 2. racer
						ạ²to²³lị²da	borrowed
						a¹tol²sdị³ha	he's loaning it to him
						a¹tol²sga	he's borrowing him, it
						a¹tsde³ɂa	he's taking a bite
						booger	
						booger	
						ạ²tsgo³ɂṿ²sga	he's lying
						ạ²tu²³gi⁴sdi	alcoholic beverage
						a¹tụ³ɂị²sdị³ha	he's promising
						a¹tv²da³²sdị²ha	he's listening to it, him
						a¹tv²³dv³hṿ²sga	1. he's asking him a question., 2. he's asking a question
						a¹tv²gi³ɂa	he hears him, it
						a¹tṿ²sga	he, it's growing
						ạ²wi⁴na	young man
						ạ²wi²nu⁴ja	adolescent boy
						ạ²wo²³hạɂ³li	eagle
						a¹yạ³a	he's inside
						a²yạ²nu⁴li	fast
						a¹ya³²tọ²hị³ha	he's distributing it
						ạ³ya¹tọ²hị²hi	1. one who distributes, 2. deacon
						a¹ya³²tọ²hlv⁴ɂi	chapter
						a¹ye³ga	he's waking up
						ạ²ye⁴hli	1. center, middle., 2. half., 3. half dollar
						a¹ye³ɂị²sdị²ha	he's waking him up
						ạ²ye²lv⁴ɂi	his body
						a¹yị³ha	1. he's getting a long object., 2. he's picking up a long object.
						a¹yo²da²³hlạ²hv⁴ɂi	floor
						a¹yo³ga	1. it's breaking  2. he's becoming spoiled
						a¹yo²hị³ha	he's shooting him, it
						a¹yọ³hị²sdị³ha	he's taking a break
						ạ²yo⁴hli	1. child, 2. small object
						a¹yo²hlṿ³sga	1. he's whittiling it., 2. he's carving it., 3. he's hewing it.
						ạ²yo²hu²hị²sdi	death
						a¹yọ³ɂi²sdị³ha	he's breaking it up
						a¹yo³lị²ha	he's greeting him
						a¹yo³sdị²ha	1. he's breaking it., 2. he's spoiling him.
						ạ³yọ²sgi	soldier
						a¹yo³stạ²nọ³hṿ³sga	he, it's destroying it
						ạ²yọ²ɂu⁴hli	lame, crippled
